id,message,label
1,"[Web발신]
너무 괜찮은 부업이 있어서 안내드립니다
현재 저희는 영화 컨시어지(예매 안내/관리) 서비스 관련 간단한 업무를 함께해주실 분을 모집하고 있습니다.

▣ 장소, 시간 제한 없이
▣ 핸드폰이나 PC만 있으면 어디서든 가능
▣ 본인 일정에 맞춰 업무 가능
▣희망 시 정규직 전환도 가능
지금 바로 시작해서 수당도 당일에 바로 받으세요!

▣ 상담 및 신청 방법
카카오톡 채널 1:1 상담으로 자세히 안내드려요

☞ http://pf.kakao.com/_ADLBn/chat

▣ 급여 및 혜택 안내

시급 기준: 20,000원
당일 수당 정산 100% 보장
능력제이고 본인 역량에따라 10만원 ~ 20만원 그이상도 가능합니다
업무시작기문 한달후 월 350만원 이상 충분히 가능합니다
한달 이상 근속 시 일급 200% 보너스 지급

▣ 참여 조건

나이/성별 무관
부업, 투잡 찾는 분 누구나 가능(주부가능)
특별한 전문지식 없어도 1~2시간 교육후 바로투입
클릭 몇 번으로 진행되는 아주 간단한 업무

▣ 상담 및 신청 방법
카카오톡 채널 1:1 상담으로 자세히 안내드려요

☞  http://pf.kakao.com/_ADLBn/chat

▣ 상담 가능 시간: 평일 오전 9시 ~ 오후 5시
※ 본 문자는 발신전용입니다. 상담은 카카오 채널을 통해 부탁드립니다.",1
2,"[Web발신]
같이 일하실분 모집합니다
쇼핑 몰 어드민 관리 및 실무 고객 주문건 확인 취소 반품/간단한 #평점 #리뷰 관리 업무입니다
▶50,000~100,000 (일) 
경력 - 무관 / 학력 - 무관 / 성향 - 성실한

▷잘 이해 되지 않을 경우 친절하게 도움드리겠습니다
▷ 책임감 가지고 잘할수 있으신 분-단순,반복적인 일
▷손 빠르신 분

■ 자격요건
주부/육아맘/대학생/자영업자/회사원
경력/학력/나이 제한없습니다

▶50,000~100,000 (일) / 당일
▶3,000,000 - 5,000,000 (월) / 충분히 가능합니다

↓↓↓↓↓↓↓↓ 
▣ 채널상담 (실시간)

 pf.kakao.com/_fxirbn/chat

▣ 채널상담 (실시간)으로 메세지 남겨주시면 상담 도움드리겠습니다

※지원신청 후 순차적으로 연락 드리고 있습니다
※문자수신 번호 광고용 번호이므로 통화는 불가합니다
※이력서허위기재시 채용이 취소될 수 있습니다
※상담은 오전 09:00 ~ 오후 18:00 까지 가능합니다
무료수신거부 0808780520",1
3,"[Web발신]
2025-1학기 우리대학  교과/비교과 교육을 홍보하고 혁신할 학생교육혁신단을 모집합니다!(장학금 혜택+)

참여신청: https://wise.sookmyung.ac.kr/ko/program/all/view/5491 

1. 활동내용
홍보활동(비교과, 교육혁신 제도 홍보)
교과/비교과 관련개선 제안활동

2. 활동 혜택 
1) 활동수료 장학금: 활동을 수료한 전원에게 지급예정(27만원, 30시간 미만 활동자 제외) 
2) 우수활동 장학금: 활동에 대한 평가를 통해 4명을 선발하여 지급예정 
3) 교육혁신원장명의 활동 수료증 발급 

3. 활동자격: 25-1학기 우리 대학 학부 7학기 이내 재학생(8명 모집)
-   휴학생 및 수료생 활동 불가, 활동기간 내 활동이 가능하며, 휴학 예정이 없는 자 

*정기활동 모임 시간에 참석 가능한 자 
*우대사항: 홍보물 제작 경험, 개선제안 활동 경험자 

문의: 대학IR센터 강선영",0
4,[알림]아버지가 금일 새벽에 별세하셨기에 삼가알려드립니다.  https://t.ly/RFVXx,1
5,"[Web발신]
저번주 퀴즈 답변 주신분들 축하드립니다
[QUIZ 이벤트]
대한민국 자동차 1등 기업이며 제네시스를 생산하는 기업은 ""ㄹㄹ""인데요,
""ㄹㄹ""은 무엇일까요?
1. 현대
2. 도요타",1
6,"[국외발신]
오빠 친구 될 수 있어요? 나는 한국에서 당신을 알고 싶어, 나의 kakaotalk : d92368",
7,"2021년 9월 12일 일요일
엄마 내꺼 휴대폰 액정이 나가서 매장에 수리 맡기고 임시휴대폰으로 문자나라 가입하고 문자했어 통화는 안되니까 문자로 답장줘",1
8,"[이용내역]
고객님
금액 549,800원
송장 xx87
구매완료
본인 아닐시 신고요망
02) 2279 9519",1
9,"[Web발신]
김재준
▶썸에이지 +14%
▶테스나 +12%
확인하셨죠?
오늘종목 매수가능하신분
답변: 7",1
10,"[OO통운] 고객님 택배 배송 불가 주소 배송불가 즉시 주소 변경 부탁드립니다.
[dsv.munjsjks.top/goolm]",1
11,"[생활불편신고] 귀하에게 민원이 접수되어 통보드립니다. 민원확인
http://bit.ly/2Hh9vp9",1
12,"[Web발신] [건강검진센터] 건강검진 보고서 발송완료, 내용보기
http://b16.h7bv.wtf",1
13,"[Web발신]
국내 우한폐렴 급속도확산
감염자및 접촉자 신분정보 확인하기
news.naver.com/****.kr",1
14,"★특★잔★치★초★대★장★ 보냈습니다
""co*y.c*m/dM*E*PvL'gSeg*s""

토요 일결혼식qX지알고w축복허러와주세오웨딩사진첩 ""t.c*/R'tvvTw*w""

모바일일청첩장eqEo도착하였습니다 tw*.k*/yo*e7s*81*h

(축하해,용해나주)세요.^^ b*t*ds.co*",1
15,"공개이력서보고전송합니다
공개이력서 보고 전송합니다.

남는시간에 겸업으로 자유롭게 할 수 있는 일이라 연락드렸습니다.

타자입력 정리해서 업로드 하는 일이고 업무는 집에서 하셔도 됩니다.
타자만 느리지 않으면 가능합니다.

시급 13000원정도 지급 시간 요일은 본인이 선택해서 편한시간에 하시면 됩니다.
급여는 정산해서 매달 15일 지급됩니다.

회사는 한번만 잠시 방문해서 자료 받고 집에서 하셔도 됩니다.

배송회사관련 자료업무입니다.

자율적인 업무라 기간 시간 요일 조절 가능하니
편하게 방문해서 자세히 설명듣고 결정해도 됩니다.

위치는 서울 시청역 도보 1분거리

내일이나 수요일 중 오후 1시 이후로 방문 가능한 시간 문자 주시면 위치 안내 해드립니다.

안전하고 편한 일이라 꼭 방문 바랍니다.",1
16,"[Web발신]
국민건강 검진통지서 자세한 내용 확인 http://hwanaa.beauty",1
17,"[Web발신] [로OO택배] 당신의 택배 배송 실패 주소가 잘못되었으니 즉시 수정하여 주문 처리하십시오.
https://mck000000[.]com",1
18,"[Web발신] [로OO택배] 송장번호 (5912********926) 주소불일치로 물품보관중입니다.
https://booc.kr/18zh1",1
19,"[Web발신]
홍콩명품
2년만의 공동구매
오늘밤자정종료

전체품30퍼할인
추가금없이
미러급상품행사

bsbm.kr
오후 12:29",1
20,"[Web발신]
수많은분들과 함께하는 진짜
세력방
관망하시고 판단해주세요
ykp.at/suik1 <-클릭
오후 4:43",1
21,"[도로공사] OOO님 차량 불법단속대상 적발! 확인 후 빠른처리 요망!
http365.com",1
22,"[민원24] 층간소음으로 민원이 접수되어 안내 드립니다. 민원확인
https://c11.kr/2qn0",1
23,[Web발신] [경찰청교통민원] 교통법칙금통지 발송 완료 http://bit.ly/3Jh2vp5,1
24,"[Web발신] 국민건강보험 건강정보보기
http://nhisis.xyz/",1
25,"[Web발신]
코로나 전염병환자
휴게소에서 수많은 사람과 접촉
http://____/pDX 접촉 휴게소 확인",1
26,"[Web발신]
(MMS 일부)
→ 대우조건
열심히만 하시면 일 10만원이상도 쉽게 가능합니다
평균급여 이상 받으시는분들도 많습니다
*알바비 당일 즉시지급이라 만족하시는 분들 많으니 부담갖지 마시고 언제든 편하게 문의주시길 바랍니다

→ 주요업무
집에서거나 일정에도 편하게 진행할 수 있는 일입니다!
교육비 가입비 일절 없는
안심할 수 있는 회사에서 시작하세요!
요구에 따라 폰이나 피시로 간단한 업무만 진행하시면 됩니다
자유롭게",1
27,"[롯데카드] 개통알림  
[1977]카드 개통신청발행 되었습니다.  
본인요청 아닐 시 신고요망.  
안내번호: 031_871_0054",1
28,"[Web발신]  
홍콩명품몰  
성탄절 공동구매행사  
신상업뎃완료  

최대30프로할인  
추가금없이  
미러급제작  

bsbm.kr  
오후 4:32",1
29,"제목없음  
[Web발신]  
♥서울청년문화패스만의 꿀혜택을 알려드립니다♥

오래 기다리셨죠? 이번 달 새롭게 오픈하는 공연·전시를 소개합니다!

【5월 신규 공연·전시 미리보기】  
① [무용] 국립정동극장 <단심(單沈)>  
60,000원/5월 8일~6월 28일  
② [뮤지컬] <보이스 오브 햄릿>  
70,000원/5월 16일~6월 28일  
③ [연극] 12인의 성난사람들  
40,000원/5월 27일~6월 1일  

▷ 더 많은 작품 둘러보기  
(www.youthcultureseoul.kr)

★가장 빠르게 서청패 월간 소식·혜택을 받아보고 싶다면?★  
① 카카오톡 채널 친구 추가하기  
(http://pf.kakao.com/_ALlGG)  
② 인스타그램 팔로우하기  
(www.instagram.com/youthcultureseoul/)",0
30,"인천공항 스마트패스  
[Web발신]  
안녕하세요. 인천국제공항공사입니다.

개인정보보호법 제20조의2(개인정보 이용 및 제공내역의 통지)에 의거 인천국제공항공사는 스마트패스 서비스에 대한 고객님의 개인정보 이용 제공 내역을 알려드립니다.

본 안내는 2025년 3월 31일 기준 스마트패스 모바일앱 가입자/ID 등록자 대상 안내사항으로, 자세한 내용은 아래와 같습니다.

* 개인정보 이용 제공내역 통지의 거부를 원하시는 경우 인천국제공항공사 스마트서비스팀으로 문의해주시기 바랍니다.

- 인천국제공항공사 개인정보 처리방침 바로가기  
인천국제공항공사 개인정보 처리방침 (airport.kr/ap_ko/1026/subview.do)

* 본 메시지는 법령에 따른 통지의무사항으로 수신동의 여부와 무관하게 전 회원에게 발송됩니다.

인천국제공항공사는 고객님의 개인정보를 매우 소중하게 생각하고 있으며, 관련 법률에 따라 엄격하게 관리하고 있습니다. 감사합니다.",0
31,"[Web발신]  
***님  
회원권 만기 5일 전입니다.  
- 레전드 멀티짐 -",0
32,"[Web발신]  
***님  
회원권 만기일입니다.  
재등록 부탁드려요~ 감사합니다!  
- 레전드 멀티짐 -",0
33,"[Web발신]  
***님  
N_주3회_3개월390000원이 결제되었습니다.  
- 레전드 멀티짐 -",0
34,"[행정안전부] 신종 코로나바이러스감염증 예방을 위해 손씻기, 기침예절, 마스크착용 등 수칙 준수와 발열 호흡기 증상 발생 시 1339 또는 보건소로 상담바랍니다.",0
35,"[서울시재난대책본부] 신종 코로나바이러스 대응 경계 단계로 격상(1.27). 중국방문 후 발열, 호흡기 증상 발생시 1339 또는 보건소로 문의하시기 바랍니다.",0
36,고객님의 택배가 부재중으로 반송되었습니다 i*.g*/Lu*Lno*,1
37,(로젠택배) 1/15 고객님택배 반송처리/주소필수지확인(변경요망) <1**lk/.u/o*>,1
38,"[현대택배]고객님 택배가 도착하였습니다. 확인해주세요""ur*.c*/2**a""",1
39,12.15고객님배송불가 주소불명 주소확인 변경요망 n*a*.c*.dtc*k*net -우체국,1
40,민원24 층간소음으로 민원접수되어 안내드립니다. 확인하기 http://o.g*sh*pl.cm,1
41,검찰로 사건 송치되었습니다 b*b*/1G*71'd,1
42,[범칙금고지서] 교통법규 위반으로 고지서가 발부되었습니다 my.m*fie*k*r,1
43,[민방위] 소집훈련통보서 수령하세요. http://d*.d*/8*te,1
44,[연합뉴스] 여객선(세월호) 침몰사고 구조현장 동영상 http://g*o.*j/v*R*,1
45,“2014브라질 월드컵 거리응원장소 어디일까요? 응원장소 확인 http://a.*c*/C*3,1
46,설날에 찾아뵈야하는데 영상으로남아 인사드립니다 열심히 달려봤습니다 z*y*k*/0e*,1
47,추석물량 증가로 배송이 지연되고있습니다. 배송일정확인하세요 http://oo.l*/b*j1*ki,1
48,고객님의 자동이체 입금 5일 입니다. 통장잔액확인 부탁드립니다.http://b*e.*m/Nd**,1
49,고객님 네이버계정은 신고접수 상태입니다 해제해주세요 http://b*t.d*/nave*y,1
50,(주)한국대기업: 본인인증절차 go*.g/A*fyl4 설치후기기를재부팅하십시오.,1
51,[쿠팡롯데리아 이벤트 불고기버거 세트 70%할인 www.gr*p.k*/Sj*7,1
52,"2026 N수 성공전략 통합 설명회
[Web발신]
(광고) [메가스터디학원]

2026학년도 입시 완벽 분석!
수준이 다른 대입성공의 핵심 전략!

【 2026 N수 성공전략 통합 설명회 】

☞ 설명회 사전 예약하기: https://vo.la/jtfZSt

▶ 일시: 2월 2일(일) 오후 2시
▶ 장소: 메가스터디 재수종합학원
▶ 강연 내용 및 연사
- PART 1: 2026학년도 입시 환경에 최적화된 N수 성공전략 (남윤곤 소장/온라인)
- PART 2: 수준별 맞춤합격시스템 '메가스터디학원만의 N수 성공전략' (각 학원장/오프라인)

▶ 참석자 혜택
① 다년간 누적된 노하우를 바탕으로 한 '최적의 맞춤 1:1 컨설팅'
② 필수 학습 콘텐츠 제공 (입시 가이드북, 입시 일정표 등)

직접 방문하셔서 대입성공까지 함께할 학원의 시설, 위치 등을 꼼꼼하게 체크해 보세요!

※ 연사 및 혜택은 학원별 상황에 따라 변경될 수 있습니다.

'대입성공의 모든 공식'

무료수신거부 080-863-5755",0
